customerNumber,contactFirstName,contactLastName,phone,addressLine1,addressLine2,city,state,postalCode,country,salesRepEmployeeNumber,creditLimit,Rating_of_experience
161,Juri,Hashimoto,6505556809,9408 Furth Circle,NULL,Burlingame,CA,94217,USA,1165,84600,3
166,Wendy,Victorino,+65 224 1555,106 Linden Road Sandown,2nd Floor,Singapore,NULL,69045,Singapore,1612,97900,3
167,Veysel,Oeztan,+47 2267 3215,Brehmen St. 121,PR 334 Sentrum,Bergen,NULL,N 5804,Norway  ,1504,96800,2
168,Keith,Franco,2035557845,149 Spinnaker Dr.,Suite 101,New Haven,CT,97823,USA,1286,0,4
169,Isabel ,de Castro,(1) 356-5555,Estrada da saúde n. 58,NULL,Lisboa,NULL,1756,Portugal,NULL,0,2
171,Martine ,Rancé,20.16.1555,"184, chaussée de Tournai",NULL,Lille,NULL,59000,France,1370,82900,4
172,Marie,Bertrand,(1) 42.34.2555,"265, boulevard Charonne",NULL,Paris,NULL,75012,France,1337,84300,5
173,Jerry,Tseng,6175555555,4658 Baden Av.,NULL,Cambridge,MA,51247,USA,1188,43400,1
175,Julie,King,2035552570,25593 South Bay Ln.,NULL,Bridgewater,CT,97562,USA,1323,84300,2
177,Mory,Kentary,+81 06 6342 5555,1-6-20 Dojima,NULL,Kita-ku,Osaka, 530-0003,Japan,1621,81200,2
181,Michael,Frick,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,1286,76400,5
186,Matti,Karttunen,90-224 8555,Keskuskatu 45,NULL,Helsinki,NULL,21240,Finland,1501,96500,3
187,Rachel,Ashworth,(171) 555-1555,Fauntleroy Circus,NULL,Manchester,NULL,EC2 5NT,UK,1501,136800,5
189,Dean,Cassidy,+353 1862 1555,25 Maiden Lane,Floor No. 4,Dublin,NULL,2,Ireland,1504,69400,2
198,Leslie,Taylor,6175558428,16780 Pompton St.,NULL,Brickhaven,MA,58339,USA,1216,23000,1
201,Elizabeth,Devon,(171) 555-2282,"12, Berkeley Gardens Blvd",NULL,Liverpool,NULL,WX1 6LT,UK,1501,92700,4
202,Yoshi ,Tamuri,(604) 555-3392,1900 Oak St.,NULL,Vancouver,BC,V3F 2K1,Canada,1323,90300,3
204,Miguel,Barajas,6175557555,7635 Spinnaker Dr.,NULL,Brickhaven,MA,58339,USA,1188,68700,5
205,Julie,Young,6265557265,78934 Hillside Dr.,NULL,Pasadena,CA,90003,USA,1166,90700,2
206,Brydey,Walker,+612 9411 1555,Suntec Tower Three,8 Temasek,Singapore,NULL,38988,Singapore,NULL,0,1
209,Frédérique ,Citeaux,88.60.1555,"24, place Kléber",NULL,Strasbourg,NULL,67000,France,1370,53800,5
211,Mike,Gao,+852 2251 1555,Bank of China Tower,1 Garden Road,Central Hong Kong,NULL,NULL,Hong Kong,1621,58600,3
216,Eduardo ,Saavedra,(93) 203 4555,"Rambla de Cataluña, 23",NULL,Barcelona,NULL,8022,Spain,1702,60300,4
219,Mary,Young,3105552373,4097 Douglas Av.,NULL,Glendale,CA,92561,USA,1166,11000,2
223,Horst ,Kloss,0372-555188,Taucherstraße 10,NULL,Cunewalde,NULL,1307,Germany,NULL,0,1
227,Palle,Ibsen,86 21 3555,Smagsloget 45,NULL,Århus,NULL,8200,Denmark,1401,120800,3
233,Jean ,Fresnière,(514) 555-8054,43 rue St. Laurent,NULL,Montréal,Québec,H1J 1C3,Canada,1286,48700,4
237,Alejandra ,Camino,(91) 745 6555,"Gran Vía, 1",NULL,Madrid,NULL,28001,Spain,NULL,0,5
239,Valarie,Thompson,7605558146,361 Furth Circle,NULL,San Diego,CA,91217,USA,1166,105000,5
240,Helen ,Bennett,(198) 555-8888,Garden House,Crowther Way 23,Cowes,Isle of Wight,PO31 7PJ,UK,1501,93900,4
242,Annette ,Roulet,61.77.6555,1 rue Alsace-Lorraine,NULL,Toulouse,NULL,31000,France,1370,61100,3
247,Renate ,Messner,069-0555984,Magazinweg 7,NULL,Frankfurt,NULL,60528,Germany,NULL,0,1
249,Paolo ,Accorti,011-4988555,Via Monte Bianco 34,NULL,Torino,NULL,10100,Italy,1401,113000,3
250,Daniel,Da Silva,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,NULL,Paris,NULL,75508,France,1337,68100,1
256,Daniel ,Tonini,30.59.8555,"67, avenue de l'Europe",NULL,Versailles,NULL,78000,France,1370,77900,4
259,Henriette ,Pfalzheim,0221-5554327,Mehrheimerstr. 369,NULL,Köln,NULL,50739,Germany,1504,120400,5
260,Elizabeth ,Lincoln,(604) 555-4555,23 Tsawassen Blvd.,NULL,Tsawassen,BC,T2F 8M4,Canada,1323,89600,4
273,Peter ,Franken,089-0877555,Berliner Platz 43,NULL,München,NULL,80805,Germany,NULL,0,2
276,Anna,O'Hara,02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,1611,107800,4
278,Giovanni ,Rovelli,035-640555,Via Ludovico il Moro 22,NULL,Bergamo,NULL,24100,Italy,1401,119600,2
282,Adrian,Huxley,+61 2 9495 8555,Monitor Money Building,815 Pacific Hwy,Chatswood,NSW,2067,Australia,1611,93300,3
286,Marta,Hernandez,6175558555,39323 Spinnaker Dr.,NULL,Cambridge,MA,51247,USA,1216,123700,2
293,Ed,Harrison,+41 26 425 50 01,Rte des Arsenaux 41 ,NULL,Fribourg,NULL,1700,Switzerland,NULL,0,4
298,Mihael,Holz,0897-034555,Grenzacherweg 237,NULL,Genève,NULL,1203,Switzerland,1702,141300,1
299,Jan,Klaeboe,+47 2212 1555,Drammensveien 126A,PB 211 Sentrum,Oslo,NULL,N 0106,Norway  ,1504,95100,3
303,Bradley,Schuyler,+31 20 491 9555,Kingsfordweg 151,NULL,Amsterdam,NULL,1043 GR,Netherlands,NULL,0,4
307,Mel,Andersen,030-0074555,Obere Str. 57,NULL,Berlin,NULL,12209,Germany,NULL,0,2
311,Pirkko,Koskitalo,981-443655,Torikatu 38,NULL,Oulu,NULL,90110,Finland,1501,90500,1
314,Catherine ,Dewey,(02) 5554 67,Rue Joseph-Bens 532,NULL,Bruxelles,NULL,B-1180,Belgium,1401,79900,5
319,Steve,Frick,9145554562,3758 North Pendale Street,NULL,White Plains,NY,24067,USA,1323,102700,4
320,Wing,Huang,5085559555,4575 Hillside Dr.,NULL,New Bedford,MA,50553,USA,1188,94500,5
321,Julie,Brown,6505551386,7734 Strong St.,NULL,San Francisco,CA,94217,USA,1165,105000,3
323,Mike,Graham,+64 9 312 5555,162-164 Grafton Road,Level 2,Auckland  ,NULL,NULL,New Zealand,1612,88000,4
324,Ann ,Brown,(171) 555-0297,35 King George,NULL,London,NULL,WX3 6FW,UK,1501,77000,2
328,William,Brown,2015559350,7476 Moss Rd.,NULL,Newark,NJ,94019,USA,1323,43000,4
333,Ben,Calaghan,61-7-3844-6555,31 Duncan St. West End,NULL,South Brisbane,Queensland,4101,Australia,1611,51600,2
334,Kalle,Suominen,+358 9 8045 555,Software Engineering Center,SEC Oy,Espoo,NULL,FIN-02271,Finland,1501,98800,4
335,Philip ,Cramer,0555-09555,Maubelstr. 90,NULL,Brandenburg,NULL,14776,Germany,NULL,0,2
339,Francisca,Cervantes,2155554695,782 First Street,NULL,Philadelphia,PA,71270,USA,1188,81100,3
344,Jesus,Fernandez,+34 913 728 555,Merchants House,27-30 Merchant's Quay,Madrid,NULL,28023,Spain,1702,59600,3
347,Brian,Chandler,2155554369,6047 Douglas Av.,NULL,Los Angeles,CA,91003,USA,1166,57700,2
348,Patricia ,McKenna,2967 555,8 Johnstown Road,NULL,Cork,Co. Cork,NULL,Ireland,NULL,0,2
350,Laurence ,Lebihan,91.24.4555,"12, rue des Bouchers",NULL,Marseille,NULL,13008,France,1337,65000,3
353,Paul ,Henriot,26.47.1555,59 rue de l'Abbaye,NULL,Reims,NULL,51100,France,1337,81100,4
356,Armand,Kuger,+27 21 550 3555,1250 Pretorius Street,NULL,Hatfield,Pretoria,28,South Africa,NULL,0,5
357,Wales,MacKinlay,64-9-3763555,199 Great North Road,NULL,Auckland,NULL,NULL,New Zealand,1612,77700,2
361,Karin,Josephs,0251-555259,Luisenstr. 48,NULL,Münster,NULL,44087,Germany,NULL,0,3
362,Juri,Yoshido,6175559555,8616 Spinnaker Dr.,NULL,Boston,MA,51003,USA,1216,41900,4
363,Dorothy,Young,6035558647,2304 Long Airport Avenue,NULL,Nashua,NH,62005,USA,1216,114200,5
369,Lino ,Rodriguez,(1) 354-2555,Jardim das rosas n. 32,NULL,Lisboa,NULL,1675,Portugal,NULL,0,2
376,Braun,Urs,0452-076555,Hauptstr. 29,NULL,Bern,NULL,3012,Switzerland,1702,0,5
379,Allen,Nelson,6175558555,7825 Douglas Av.,NULL,Brickhaven,MA,58339,USA,1188,70700,3
381,Pascale ,Cartrain,(071) 23 67 2555,"Boulevard Tirou, 255",NULL,Charleroi,NULL,B-6000,Belgium,1401,23500,4
382,Georg ,Pipps,6562-9555,Geislweg 14,NULL,Salzburg,NULL,5020,Austria,1401,71700,2
385,Arnold,Cruz,+63 2 555 3587,15 McCallum Street,NatWest Center #13-03,Makati City,NULL,1227 MM,Philippines,1621,81500,3
386,Maurizio ,Moroni,0522-556555,Strada Provinciale 124,NULL,Reggio Emilia,NULL,42100,Italy,1401,121400,4
398,Akiko,Shimamura,+81 3 3584 0555,2-2-8 Roppongi,NULL,Minato-ku,Tokyo,106-0032,Japan,1621,94400,3
406,Dominique,Perrier,(1) 47.55.6555,"25, rue Lauriston",NULL,Paris,NULL,75016,France,1337,95000,5
409,Rita ,Müller,0711-555361,Adenauerallee 900,NULL,Stuttgart,NULL,70563,Germany,NULL,0,2
412,Sarah,McRoy,04 499 9555,101 Lambton Quay,Level 11,Wellington,NULL,NULL,New Zealand,1612,86800,3
415,Michael,Donnermeyer, +49 89 61 08 9555,Hansastr. 15,NULL,Munich,NULL,80686,Germany,1504,77000,3
424,Maria,Hernandez,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,1286,67500,5
443,Alexander ,Feuer,0342-555176,Heerstr. 22,NULL,Leipzig,NULL,4179,Germany,NULL,0,2
447,Dan,Lewis,2035554407,2440 Pompton St.,NULL,Glendale,CT,97561,USA,1323,49700,3
448,Martha,Larsson,0695-34 6555,Åkergatan 24,NULL,Bräcke,NULL,S-844 67,Sweden,1504,116400,2
450,Sue,Frick,4085553659,3086 Ingle Ln.,NULL,San Jose,CA,94217,USA,1165,77600,5
452,Roland ,Mendel,7675-3555,Kirchgasse 6,NULL,Graz,NULL,8010,Austria,1401,45300,4
455,Leslie,Murphy,2035559545,567 North Pendale Street,NULL,New Haven,CT,97823,USA,1286,95400,3
456,Yu,Choi,2125551957,5290 North Pendale Street,Suite 200,NYC,NY,10022,USA,1286,39800,5
458,Martín ,Sommer,(91) 555 22 82,"C/ Araquil, 67",NULL,Madrid,NULL,28023,Spain,1702,104600,3
459,Sven ,Ottlieb,0241-039123,Walserweg 21,NULL,Aachen,NULL,52066,Germany,NULL,0,5
462,Violeta,Benitez,5085552555,1785 First Street,NULL,New Bedford,MA,50553,USA,1216,85800,1
465,Carmen,Anton,+34 913 728555,"c/ Gobelas, 19-1 Urb. La Florida",NULL,Madrid,NULL,28023,Spain,NULL,0,3
471,Sean,Clenahan,61-9-3844-6555,7 Allen Street,NULL,Glen Waverly,Victoria,3150,Australia,1611,60300,4
473,Franco,Ricotti,+39 022515555,20093 Cologno Monzese,Alessandro Volta 16,Milan,NULL,NULL,Italy,1401,34800,2
475,Steve,Thompson,3105553722,3675 Furth Circle,NULL,Burbank,CA,94019,USA,1166,55400,5
477,Hanna ,Moos,0621-08555,Forsterstr. 57,NULL,Mannheim,NULL,68306,Germany,NULL,0,3
480,Alexander ,Semenov,+7 812 293 0521,2 Pobedy Square,NULL,Saint Petersburg,NULL,196143,Russia,NULL,0,4
481,Raanan,"Altagar,G M",+ 972 9 959 8555,3 Hagalim Blv.,NULL,Herzlia,NULL,47625,Israel,NULL,0,5
484,José Pedro ,Roel,(95) 555 82 82,"C/ Romero, 33",NULL,Sevilla,NULL,41101,Spain,1702,65700,3
486,Rosa,Salazar,2155559857,11328 Douglas Av.,NULL,Philadelphia,PA,71270,USA,1323,72600,4
487,Sue,Taylor,4155554312,2793 Furth Circle,NULL,Brisbane,CA,94217,USA,1165,60300,2
489,Thomas ,Smith,(171) 555-7555,120 Hanover Sq.,NULL,London,NULL,WA1 1DP,UK,1501,43300,4
495,Valarie,Franco,6175552555,6251 Ingle Ln.,NULL,Boston,MA,51003,USA,1188,85100,5
496,Tony,Snowden,+64 9 5555500,Arenales 1938 3'A',NULL,Auckland  ,NULL,NULL,New Zealand,1612,110000,3
,,,,,,,,,,,,2
,,,,,,,,,,,,4
,,,,,,,,,,,,5
,,,,,,,,,,,,1
,,,,,,,,,,,,4
,,,,,,,,,,,,3
,,,,,,,,,,,,5
,,,,,,,,,,,,5
,,,,,,,,,,,,3
,,,,,,,,,,,,4
,,,,,,,,,,,,2
,,,,,,,,,,,,5
,,,,,,,,,,,,2
,,,,,,,,,,,,3
,,,,,,,,,,,,3
,,,,,,,,,,,,2
,,,,,,,,,,,,5
,,,,,,,,,,,,4
,,,,,,,,,,,,4
,,,,,,,,,,,,5
,,,,,,,,,,,,3
,,,,,,,,,,,,4
,,,,,,,,,,,,3
,,,,,,,,,,,,4
,,,,,,,,,,,,3
,,,,,,,,,,,,3
,,,,,,,,,,,,3
,,,,,,,,,,,,4
,,,,,,,,,,,,5
,,,,,,,,,,,,5
,,,,,,,,,,,,4
,,,,,,,,,,,,3
,,,,,,,,,,,,5
,,,,,,,,,,,,4
,,,,,,,,,,,,5
,,,,,,,,,,,,4
,,,,,,,,,,,,4
,,,,,,,,,,,,4
,,,,,,,,,,,,4
,,,,,,,,,,,,4
,,,,,,,,,,,,5
,,,,,,,,,,,,3
,,,,,,,,,,,,2
,,,,,,,,,,,,4
,,,,,,,,,,,,5
,,,,,,,,,,,,6
,,,,,,,,,,,,3
,,,,,,,,,,,,4
,,,,,,,,,,,,3
,,,,,,,,,,,,4
,,,,,,,,,,,,3
,,,,,,,,,,,,4
,,,,,,,,,,,,3
,,,,,,,,,,,,4
,,,,,,,,,,,,5
,,,,,,,,,,,,5
,,,,,,,,,,,,3
,,,,,,,,,,,,4
,,,,,,,,,,,,3
,,,,,,,,,,,,6
,,,,,,,,,,,,2
,,,,,,,,,,,,4
,,,,,,,,,,,,3
,,,,,,,,,,,,4
,,,,,,,,,,,,2
,,,,,,,,,,,,3
,,,,,,,,,,,,4
,,,,,,,,,,,,3
,,,,,,,,,,,,3
,,,,,,,,,,,,3
,,,,,,,,,,,,2
,,,,,,,,,,,,5
,,,,,,,,,,,,4
,,,,,,,,,,,,6
,,,,,,,,,,,,4
,,,,,,,,,,,,5
,,,,,,,,,,,,3
,,,,,,,,,,,,4
,,,,,,,,,,,,6
,,,,,,,,,,,,3
,,,,,,,,,,,,4
,,,,,,,,,,,,2
,,,,,,,,,,,,4
,,,,,,,,,,,,5
,,,,,,,,,,,,3
,,,,,,,,,,,,4
,,,,,,,,,,,,3
,,,,,,,,,,,,5
,,,,,,,,,,,,3
,,,,,,,,,,,,4
,,,,,,,,,,,,3
,,,,,,,,,,,,5
,,,,,,,,,,,,4
,,,,,,,,,,,,3
,,,,,,,,,,,,3
,,,,,,,,,,,,3
,,,,,,,,,,,,4
,,,,,,,,,,,,3
,,,,,,,,,,,,5
,,,,,,,,,,,,4
,,,,,,,,,,,,4
,,,,,,,,,,,,3
,,,,,,,,,,,,4
,,,,,,,,,,,,3
,,,,,,,,,,,,4
,,,,,,,,,,,,3
,,,,,,,,,,,,4
,,,,,,,,,,,,3
,,,,,,,,,,,,4
,,,,,,,,,,,,2
,,,,,,,,,,,,5
,,,,,,,,,,,,4
,,,,,,,,,,,,3
,,,,,,,,,,,,3
,,,,,,,,,,,,6
,,,,,,,,,,,,5
,,,,,,,,,,,,4
,,,,,,,,,,,,4
,,,,,,,,,,,,5
,,,,,,,,,,,,3
,,,,,,,,,,,,4
,,,,,,,,,,,,3
,,,,,,,,,,,,4
,,,,,,,,,,,,3
,,,,,,,,,,,,5
,,,,,,,,,,,,5
,,,,,,,,,,,,5
,,,,,,,,,,,,3
,,,,,,,,,,,,5
,,,,,,,,,,,,4
,,,,,,,,,,,,5
,,,,,,,,,,,,4
,,,,,,,,,,,,5
,,,,,,,,,,,,3
,,,,,,,,,,,,5
,,,,,,,,,,,,3
,,,,,,,,,,,,3
,,,,,,,,,,,,4
,,,,,,,,,,,,5
,,,,,,,,,,,,5
,,,,,,,,,,,,5
,,,,,,,,,,,,5
,,,,,,,,,,,,5
,,,,,,,,,,,,5
,,,,,,,,,,,,5
,,,,,,,,,,,,5
,,,,,,,,,,,,5
,,,,,,,,,,,,5
,,,,,,,,,,,,5
,,,,,,,,,,,,4
,,,,,,,,,,,,4
,,,,,,,,,,,,3
,,,,,,,,,,,,5
,,,,,,,,,,,,2
,,,,,,,,,,,,4
,,,,,,,,,,,,5
,,,,,,,,,,,,3
,,,,,,,,,,,,4
,,,,,,,,,,,,2
,,,,,,,,,,,,5
,,,,,,,,,,,,4
,,,,,,,,,,,,3
,,,,,,,,,,,,4
,,,,,,,,,,,,5
,,,,,,,,,,,,3
,,,,,,,,,,,,5
,,,,,,,,,,,,4
,,,,,,,,,,,,3
,,,,,,,,,,,,4
,,,,,,,,,,,,3
,,,,,,,,,,,,4
,,,,,,,,,,,,4
,,,,,,,,,,,,3
,,,,,,,,,,,,4
,,,,,,,,,,,,3
,,,,,,,,,,,,4
,,,,,,,,,,,,5
,,,,,,,,,,,,3
,,,,,,,,,,,,4
,,,,,,,,,,,,3
,,,,,,,,,,,,4
,,,,,,,,,,,,2
,,,,,,,,,,,,4
,,,,,,,,,,,,3
,,,,,,,,,,,,5
,,,,,,,,,,,,5
,,,,,,,,,,,,3
,,,,,,,,,,,,5
,,,,,,,,,,,,4
,,,,,,,,,,,,2
,,,,,,,,,,,,1
,,,,,,,,,,,,3
,,,,,,,,,,,,5
,,,,,,,,,,,,4
,,,,,,,,,,,,3
,,,,,,,,,,,,3
,,,,,,,,,,,,2
,,,,,,,,,,,,3
,,,,,,,,,,,,3
,,,,,,,,,,,,3
,,,,,,,,,,,,3
,,,,,,,,,,,,5
,,,,,,,,,,,,3
,,,,,,,,,,,,3
